t1,t2,name,rating,semester,lecture
3,32,Anette og hendes noter,10,E15_C,System af diff-ligninger Del 2
3,21,Siden I er her,7,E18_B,Komplekse tal på Rektangulær Form - Part1
55,63,Alle ting af interesse,5,E18_B,Komplekse tal på Rektangulær Form - Part1
92,100,Overraskende nok,4,E18_B,Komplekse tal på Rektangulær Form - Part1
125,150,Nord øst,7,E18_B,Komplekse tal på Rektangulær Form - Part1
202,223,Hvad skal vi lave,5,E18_B,Komplekse tal på Rektangulær Form - Part1
377,387,Fjorten,5,E18_B,Komplekse tal på Rektangulær Form - Part1
449,468,Færdighedsregning,5,E18_B,Komplekse tal på Rektangulær Form - Part1
510,521,Brøkregning,4,E18_B,Komplekse tal på Rektangulær Form - Part1
590,596,Holde kæft og snakke om komplekse tal,6,E18_B,Komplekse tal på Rektangulær Form - Part1
610,640,40 i feber og Matematik stream,6,E18_B,Komplekse tal på Rektangulær Form - Part1
645,663,Hvis ens forelæser er en nar,5,E18_B,Komplekse tal på Rektangulær Form - Part1
837,850,Tror på folk har fattet budskabet,7,E18_B,Komplekse tal på Rektangulær Form - Part1
1136,1155,"Pythagoras, ik'?",7,E18_B,Komplekse tal på Rektangulær Form - Part1
1182,1197,Smart måde på Den Lokale Bodega,8,E18_B,Komplekse tal på Rektangulær Form - Part1
1307,1309,Og sådan er det,5,E18_B,Komplekse tal på Rektangulær Form - Part1
1324,1338,Ufatteligt grimt R,4,E18_B,Komplekse tal på Rektangulær Form - Part1
1510,1522,Ikke noget at ryste over,6,E18_B,Komplekse tal på Rektangulær Form - Part1
1545,1575,En syg multiplikation,6,E18_B,Komplekse tal på Rektangulær Form - Part1
1620,1645,En syg multiplikation 2,9,E18_B,Komplekse tal på Rektangulær Form - Part1
1670,1685,Discovery Channel,7,E18_B,Komplekse tal på Rektangulær Form - Part1
1883,1893,En enestående opdagelse,7,E18_B,Komplekse tal på Rektangulær Form - Part1
1950,1955,"So far, so fedt",6,E18_B,Komplekse tal på Rektangulær Form - Part1
1970,1978,En mwhahaha-oplevelse,5,E18_B,Komplekse tal på Rektangulær Form - Part1
2015,2027,Den gange den,5,E18_B,Komplekse tal på Rektangulær Form - Part1
2134,2162,Det eneste man skal huske,9,E18_B,Komplekse tal på Rektangulær Form - Part1
2363,2373,Schwup - så kommer den herop,5,E18_B,Komplekse tal på Rektangulær Form - Part1
2493,2506,Det eneste man skal huske 2,8,E18_B,Komplekse tal på Rektangulær Form - Part1
140,149,Fucke op så mange gange,8,E18_B,Komplekse tal på Rektangulær Form - Part2
179,193,Det eneste man skal huske 3,8,E18_B,Komplekse tal på Rektangulær Form - Part2
205,215,Skal man gå på universitet?,8,E18_B,Komplekse tal på Rektangulær Form - Part2
420,431,Kan man bruge de her ting til noget,7,E18_B,Komplekse tal på Rektangulær Form - Part2
574,583,Færdigt arbejde,6,E18_B,Komplekse tal på Rektangulær Form - Part2
680,694,Spild af RAM,8,E18_B,Komplekse tal på Rektangulær Form - Part2
930,944,"Sådan dividerer man - lidt fedt, ik'?",6,E18_B,Komplekse tal på Rektangulær Form - Part2
1020,1030,Kaste op i lårtykke stråler,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1041,1046,Hvordan i helvede skal man gøre det,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1062,1065,Knækket kridt,5,E18_B,Komplekse tal på Rektangulær Form - Part2
1407,1427,Klasker sig på lårene af fryd - der kom lige en cirkel,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1427,1433,Når man jo nu har den fremme,6,E18_B,Komplekse tal på Rektangulær Form - Part2
1450,1466,Pædagogisk farvet kridt,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1770,1778,Utroligt hvad man kan her i verden uden kridt,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1793,1805,Tag det roligt,7,E18_B,Komplekse tal på Rektangulær Form - Part2
1806,1829,Færdig med de komplekse tal,8,E18_B,Komplekse tal på Rektangulær Form - Part2
1945,1958,Andre ting vi skal have ryddet op i,10,E18_B,Komplekse tal på Rektangulær Form - Part2
2013,2040,Vi er på en øde ø,10,E18_B,Komplekse tal på Rektangulær Form - Part2
2115,2127,Den er større end den,9,E18_B,Komplekse tal på Rektangulær Form - Part2
2144,2158,Antallet af rationelle tal,7,E18_B,Komplekse tal på Rektangulær Form - Part2
2328,2335,Et lille stykke tavle,6,E18_B,Komplekse tal på Rektangulær Form - Part2
2510,2518,"Bye bye, ordning",6,E18_B,Komplekse tal på Rektangulær Form - Part2
2528,2541,Regne den sidste opgave,8,E18_B,Komplekse tal på Rektangulær Form - Part2
2,9,Fredagsbøn,6,E18_B,Regning med reelle og komplekse tal
30,36,Holde ud at høre mig selv,4,E18_B,Regning med reelle og komplekse tal
155,162,Gøre noget,5,E18_B,Regning med reelle og komplekse tal
191,199,Få repeteret,4,E18_B,Regning med reelle og komplekse tal
438,452,Det er bare dumt,5,E18_B,Regning med reelle og komplekse tal
516,540,Hele baduljen,5,E18_B,Regning med reelle og komplekse tal
685,818,Mængden af alle mængder,8,E18_B,Regning med reelle og komplekse tal
1757,1769,Hvis man lader være med at regne,4,E18_B,Regning med reelle og komplekse tal
2013,2022,Hvis ens hjerne er osteagtig,6,E18_B,Regning med reelle og komplekse tal
2087,2099,Glad for konjugering,5,E18_B,Regning med reelle og komplekse tal
2448,2453,De gamle grækere,6,E18_B,Regning med reelle og komplekse tal
3024,3046,Kollegaen fra Den Lokale Bænk,7,E18_B,Regning med reelle og komplekse tal
3533,3566,Hvis I synes det er sjovt,7,E18_B,Regning med reelle og komplekse tal
95,98,Det er rent gymnasiestof,3,E18_B,Polære koordinater og eksponentiel form - Part1
213,228,Kompleks telefonboks,5,E18_B,Polære koordinater og eksponentiel form - Part1
305,312,Tæppe over hovedet,4,E18_B,Polære koordinater og eksponentiel form - Part1
660,667,Enhedsæg,5,E18_B,Polære koordinater og eksponentiel form - Part1
1007,1015,I skal nok blive trætte af det,4,E18_B,Polære koordinater og eksponentiel form - Part1
1203,1210,Knap på lommeregneren,4,E18_B,Polære koordinater og eksponentiel form - Part1
1270,1282,Endnu et enhedsæg,5,E18_B,Polære koordinater og eksponentiel form - Part1
1450,1460,Lad os sige jeg er lidt retarderet,7,E18_B,Polære koordinater og eksponentiel form - Part1
1950,1960,Hvis der er fysikere til stede,2,E18_B,Polære koordinater og eksponentiel form - Part1
1990,1997,Et stort enhedsæg,4,E18_B,Polære koordinater og eksponentiel form - Part1
2006,2024,Pæneste enhedscirkel i mit liv,5,E18_B,Polære koordinater og eksponentiel form - Part1
2245,2255,Kunne gøres på en øde ø,4,E18_B,Polære koordinater og eksponentiel form - Part1
2702,2712,Øde Ø og pind i sandet,6,E18_B,Polære koordinater og eksponentiel form - Part1
2792,2803,Øde Ø og badeshorts,5,E18_B,Polære koordinater og eksponentiel form - Part1
137,140,Det jeg også fik mumlet om,3,E18_B,Polære koordinater og eksponentiel form - Part2
309,316,Selvfølgelig lidt syret,5,E18_B,Polære koordinater og eksponentiel form - Part2
485,489,Eksotisk fætter,6,E18_B,Polære koordinater og eksponentiel form - Part2
782,785,Straaange,4,E18_B,Polære koordinater og eksponentiel form - Part2
973,979,Er det smart?,6,E18_B,Polære koordinater og eksponentiel form - Part2
1044,1059,Lille Gilbert,7,E18_B,Polære koordinater og eksponentiel form - Part2
1230,1264,Mona Lisa er en sæk,9,E18_B,Polære koordinater og eksponentiel form - Part2
1662,1676,Helst ikke skal have inde for døre,4,E18_B,Polære koordinater og eksponentiel form - Part2
1996,2005,Hjælp til hjemmeopgave pling plam,7,E18_B,Polære koordinater og eksponentiel form - Part2
2154,2168,Tydelig ret linje,6,E18_B,Polære koordinater og eksponentiel form - Part2
2288,2293,Kører for de gamle soldater,7,E18_B,Polære koordinater og eksponentiel form - Part2
2454,2473,Julefrokostspørgsmål,8,E18_B,Polære koordinater og eksponentiel form - Part2
86,106,Deres navne på fint,3,E18_B,Polære koordinater og eksponentialfunktionen
1118,1124,Seniliten breder sig,6,E18_B,Polære koordinater og eksponentialfunktionen
2330,2340,Kodylt fedt,5,E18_B,Polære koordinater og eksponentialfunktionen
3038,3041,Er I med på den,5,E18_B,Polære koordinater og eksponentialfunktionen
3594,3625,Fredagskvarteret,6,E18_B,Polære koordinater og eksponentialfunktionen
1241,1249,Cosinus til pi over 13,6,E18_B,Polynomier - Part1
1335,1365,Hvis jeg skal finde argumentet,5,E18_B,Polynomier - Part1
1378,1395,God spontan idé,4,E18_B,Polynomier - Part1
349,388,Algebraens fundementalsætning,6,E18_B,Polynomier - Part2
518,522,Lidt ækelt,5,E18_B,Polynomier - Part2
601,623,Hvordan gør man,7,E18_B,Polynomier - Part2
807,818,Ups - det forstår man ikke,6,E18_B,Polynomier - Part2
881,901,Tredjegradspolynomium,4,E18_B,Polynomier - Part2
932,948,Gætte en rod,5,E18_B,Polynomier - Part2
984,991,De gode gæt,7,E18_B,Polynomier - Part2
1098,1103,Nedstigningssætningen,5,E18_B,Polynomier - Part2
1170,1174,Knækket kridt - polynomie forelæsning,5,E18_B,Polynomier - Part2
1259,1277,Pisse i bukserne,6,E18_B,Polynomier - Part2
1296,1300,Er I enige?,5,E18_B,Polynomier - Part2
1307,1313,Pas på med kvadratrod,4,E18_B,Polynomier - Part2
1422,1434,Det er jo faktisk smukt,5,E18_B,Polynomier - Part2
1394,1397,Så nemt som at klø sig i nakken,4,E18_B,Polynomier - Part2
1542,1577,Løsninger til 4. gradsligninger? Maple kan godt,6,E18_B,Polynomier - Part2
1577,1588,Tavle nr. 12,7,E18_B,Polynomier - Part2
1597,1607,Ryste på hovedet,5,E18_B,Polynomier - Part2
1703,1711,Bilde jer ind at det er svært,5,E18_B,Polynomier - Part2
1722,1729,"Sådan noget, ik' os'?",4,E18_B,Polynomier - Part2
1820,1827,Og sådan gør man det,5,E18_B,Polynomier - Part2
1866,1873,Gøres mere indviklet,5,E18_B,Polynomier - Part2
1893,1955,Epsilon-funktioner - kan klippes sjovt,4,E18_B,Polynomier - Part2
1982,2003,Gøre hvad fanden den vil,6,E18_B,Polynomier - Part2
2274,2289,"Ikke noget, der skaffer en venner på Det Lokale Værtshus",7,E18_B,Polynomier - Part2
2571,2580,Kæft hvor er det smart,8,E18_B,Polynomier - Part2
2721,2727,Hvad vrøvler jeg om,5,E18_B,Polynomier - Part2
2769,2780,Fik gjort det lidt mere besværligt,6,E18_B,Polynomier - Part2
2860,2865,"Var det ikke det, du spurgte om?",6,E18_B,Polynomier - Part2
3009,3015,Lad være med at gøre det i hovedet,6,E18_B,Polynomier - Part2
3,13,"Ja, vi siger den er 8",8,E18_B,Differentiabilitet
13,19,Hyggedag,6,E18_B,Differentiabilitet
31,39,Noget af det er faktisk lidt sjovt,6,E18_B,Differentiabilitet
365,381,Ellers bryder helvede løs,7,E18_B,Differentiabilitet
484,500,Blblblblblbl,7,E18_B,Differentiabilitet
690,693,Fidusen er,2,E18_B,Differentiabilitet
705,712,Fidusen er x2,2,E18_B,Differentiabilitet
720,735,Hvis og kun hvis,5,E18_B,Differentiabilitet
784,787,Ingen ko på isen,4,E18_B,Differentiabilitet
870,881,En ny regel,5,E18_B,Differentiabilitet
971,1005,De to metoder - del 1,6,E18_B,Differentiabilitet
1041,1048,De to metoder - del 2,6,E18_B,Differentiabilitet
1089,1095,Er det ikke rigtigt,5,E18_B,Differentiabilitet
1096,1110,Kædereglen - del 1,5,E18_B,Differentiabilitet
1180,1190,Kædereglen - del 2,5,E18_B,Differentiabilitet
1265,1280,Temperaturen og patienten - del 1,7,E18_B,Differentiabilitet
1289,1304,Temperaturen og patienten - del 2,7,E18_B,Differentiabilitet
1341,1397,Temperaturen og patienten - del 3,7,E18_B,Differentiabilitet
1568,1576,Injektiv,6,E18_B,Differentiabilitet
2482,2490,Jamen mamma,8,E18_B,Differentiabilitet
2595,2616,Sinus er jo en ækel sag - Øde Ø,8,E18_B,Differentiabilitet
2960,2971,Så kan vi skrive,5,E18_B,Differentiabilitet
3188,3190,Er det ikke fantastisk? - dif 1,6,E18_B,Differentiabilitet
3291,3309,En mørk vej,8,E18_B,Differentiabilitet
3346,3352,"Mærkelig idé, men lad os gøre det",8,E18_B,Differentiabilitet
3406,3413,Hovsa,5,E18_B,Differentiabilitet
3490,3494,Er det ikke fantastisk? - dif 2,6,E18_B,Differentiabilitet
3537,3565,Jeg gad ikke skrive den,7,E18_B,Differentiabilitet
5,7,Godmorgen,6,E18_B,Taylors formler del 1
27,34,"Det er faktisk ret sjovt, og ikke spor svært",5,E18_B,Taylors formler del 1
36,68,Maple kan holde forelæsningen,7,E18_B,Taylors formler del 1
93,111,Stjæle med arme og ben fra Maple ark,6,E18_B,Taylors formler del 1
156,163,Læs hvad der står,6,E18_B,Taylors formler del 1
177,203,Kollegaen der synger og danser og savne jer,9,E18_B,Taylors formler del 1
213,227,And the camera should probably be on me,5,E18_B,Taylors formler del 1
430,441,"Gå i livet og tro, at alle funktioner er uendeligt mange gange differentiable",7,E18_B,Taylors formler del 1
509,522,Den bløde og lækre funktion,8,E18_B,Taylors formler del 1
524,622,Løvejagt,10,E18_B,Taylors formler del 1
622,650,Sinus til en halv,5,E18_B,Taylors formler del 1
653,665,"Løver, løver, løver",4,E18_B,Taylors formler del 1
778,805,Arbejdsløse analogi,7,E18_B,Taylors formler del 1
1178,1190,Vi holder op med at ønske - nu forlanger vi,6,E18_B,Taylors formler del 1
1417,1423,Er det ikke fantastisk,5,E18_B,Taylors formler del 1
1726,1732,Og så fortsætter festen,5,E18_B,Taylors formler del 1
1748,1755,Synd for Taylor,5,E18_B,Taylors formler del 1
1807,1811,Og så fortsætter festen 2,4,E18_B,Taylors formler del 1
1990,1995,Det her betyder at lægge sammen,5,E18_B,Taylors formler del 1
2082,2086,Nu har jeg sagt Taylors formel mange gange,6,E18_B,Taylors formler del 1
2309,2340,Det ser meget godt ud,6,E18_B,Taylors formler del 1
2424,2432,Vores yndlingsfunktion,5,E18_B,Taylors formler del 1
2555,2562,Hvor fantastisk,4,E18_B,Taylors formler del 1
60,70,En hos tandlægen,6,E18_B,Taylors formler del 2
98,146,Strandet på Det Lokale Værtshus med Sinus til en halv,10,E18_B,Taylors formler del 2
222,233,P4,5,E18_B,Taylors formler del 2
468,471,Kæft hvor han kører,5,E18_B,Taylors formler del 2
493,508,Ved vi noget om cosinus,4,E18_B,Taylors formler del 2
573,583,Det har vi faktisk regnet ud,5,E18_B,Taylors formler del 2
580,590,En fejl på en 4000tusindedel,4,E18_B,Taylors formler del 2
730,740,På bagsiden af en serviet,6,E18_B,Taylors formler del 2
749,758,En lommeregner,6,E18_B,Taylors formler del 2
840,852,Lommeregneren kan ikke regne,4,E18_B,Taylors formler del 2
880,895,Konklusion på sinus til en halv,9,E18_B,Taylors formler del 2
958,978,Færdig arbejde,5,E18_B,Taylors formler del 2
1039,1053,Nul over nul udtryk,5,E18_B,Taylors formler del 2
1201,1207,Se det smart,4,E18_B,Taylors formler del 2
1278,1286,Michael er dårlig til Maple,5,E18_B,Taylors formler del 2
1326,1338,Plots,5,E18_B,Taylors formler del 2
1491,1497,Det bliver bedre,4,E18_B,Taylors formler del 2
1584,1601,Stjæl med arme og ben,5,E18_B,Taylors formler del 2
1605,1625,Det havde taget 5 minutter,6,E18_B,Taylors formler del 2
1633,1652,DTUs logo,6,E18_B,Taylors formler del 2
6,10,Vikar for Michael,3,E18_B,Lineære ligningssystemer del 1
35,52,Lineære ligninger,4,E18_B,Lineære ligningssystemer del 1
3,11,Fredag i skyttegravene,7,E18_B,Matrixalgebra
30,43,ReducedRowEchelonForm,8,E18_B,Matrixalgebra
110,122,Vagthunden og Maple,6,E18_B,Matrixalgebra
660,675,Når man har trappeformen,8,E18_B,Matrixalgebra
823,840,Spørger man sig selv,4,E18_B,Matrixalgebra
845,863,Homogene højresider,6,E18_B,Matrixalgebra
1839,1877,Siden 2. klasse,6,E18_B,Matrixalgebra
1904,1909,Mine damer og harer,5,E18_B,Matrixalgebra
1933,1948,R4,7,E18_B,Matrixalgebra
1971,2011,Fjernbetjening og svampe,6,E18_B,Matrixalgebra
2034,2051,Fjernbetjening og svampe 2,5,E18_B,Matrixalgebra
2099,2132,Transponeringer,6,E18_B,Matrixalgebra
2400,2419,Én ligning med én ubekendt,8,E18_B,Matrixalgebra
2439,2453,En halv på Den Lokale,8,E18_B,Matrixalgebra
2480,2500,Der sker noget,7,E18_B,Matrixalgebra
2949,2975,Den motoriske øvelse,10,E18_B,Matrixalgebra
3238,3256,En kommando i Maple,7,E18_B,Matrixalgebra
32,40,Skræmmende determinanter,6,E18_B,Determinanter og vektor-geometri del 1
210,221,Kun kvadratiske matricer,5,E18_B,Determinanter og vektor-geometri del 1
634,646,"Bum, bum, bum - den er regulær",4,E18_B,Determinanter og vektor-geometri del 1
820,835,Nu bryder helvede løs,7,E18_B,Determinanter og vektor-geometri del 1
900,930,ærterækker,7,E18_B,Determinanter og vektor-geometri del 1
935,950,matricelort,6,E18_B,Determinanter og vektor-geometri del 1
954,965,fremrævet,6,E18_B,Determinanter og vektor-geometri del 1
1268,1270,Fidusen er x2 - determinant,3,E18_B,Determinanter og vektor-geometri del 1
1300,1310,Sjov med snitmatricer,5,E18_B,Determinanter og vektor-geometri del 1
1365,1375,En kompliceret måde at begå selvmord på,7,E18_B,Determinanter og vektor-geometri del 1
1420,1431,En kommando i Maple - determinant,8,E18_B,Determinanter og vektor-geometri del 1
1499,1515,Tal der er sjove at gange med,7,E18_B,Determinanter og vektor-geometri del 1
1589,1602,Plus minus plus,4,E18_B,Determinanter og vektor-geometri del 1
1720,1732,Følg nullerne,6,E18_B,Determinanter og vektor-geometri del 1
1812,1824,Pyrus' regel,6,E18_B,Determinanter og vektor-geometri del 1
2285,2297,Jeg er bare stiv,6,E18_B,Determinanter og vektor-geometri del 1
2375,2423,Moar,8,E18_B,Determinanter og vektor-geometri del 1
2452,2467,Moar part 2,8,E18_B,Determinanter og vektor-geometri del 1
2467,2491,Moar part 3,8,E18_B,Determinanter og vektor-geometri del 1
2557,2563,En søjle med mange nuller,6,E18_B,Determinanter og vektor-geometri del 1
2700,2741,Øde ø og regulære matricer,7,E18_B,Determinanter og vektor-geometri del 1
2789,2807,En eller anden nar,7,E18_B,Determinanter og vektor-geometri del 1
2823,2830,En times tid,7,E18_B,Determinanter og vektor-geometri del 1
2928,2932,Det smart,5,E18_B,Determinanter og vektor-geometri del 1
3017,3035,Det er jo fedt nok,6,E18_B,Determinanter og vektor-geometri del 1
3035,3056,Flotte formler,6,E18_B,Determinanter og vektor-geometri del 1
3062,3072,"Pyha, det var hårdt",6,E18_B,Determinanter og vektor-geometri del 1
1744,1755,Nu skal I være med mig,3,E18_B,Determinanter og vektor-geometri del 2
2020,2025,En ekstra god kan du se det,6,E18_B,Determinanter og vektor-geometri del 2
2932,2941,Min hjerne er ved at løbe over,6,E18_B,Determinanter og vektor-geometri del 2
