Start	Slut	Navn på klip	Rating	Sidst ændret
00:00	00:15	Godmorgen, lad os stemme om det	6	06/08/2020 20:35:31
00:16	00:22	Komplekse tal, der følger os resten af vores liv	6	06/08/2020 20:35:53
01:53	02:15	Den forelæsning jeg skal holde nu knaldes af på 5 minutter i Maple	6	06/08/2020 20:36:24
04:04	04:36	Peter Rygaard og Slagelse	5	06/08/2020 20:36:36
04:40	05:06	Peter Rygaard og Slagelse 2 	7	06/08/2020 20:36:52
05:10	05:17	Ikke særligt svært, og ovenikøbet lidt sjovt	6	06/08/2020 20:37:13
06:05	06:32	Fredag og temaøvelse	6	06/08/2020 20:37:26
10:36	11:10	Mange grimme dyr i skoven	5	06/08/2020 20:37:39
39:58	40:38	En krølle, en krølle, og en lidt større krølle	5	06/08/2020 20:37:54
42:30	42:44	Alles kælefunktion	5	06/08/2020 20:38:23
44:09	44:18	En sjettedel, gå hjem		06/08/2020 20:38:18